Genes	Tools				
KCNIP4	MAGMA PoPS				
FAT3	MAGMA PoPS				
DZIP3	MAGMA PoPS				
HOXA9	MAGMA PoPS				
XKR6	MAGMA PoPS				
GAS7	MAGMA PoPS				
SYT14	MAGMA PoPS				
PSMC3	MAGMA PoPS				
BCL11A	MAGMA PoPS				
MFHAS1	MAGMA PoPS				
HMGA1	MAGMA PoPS				
NRG1	MAGMA PoPS				
GAD1	MAGMA PoPS				
LHX9	MAGMA PoPS				
VAV3	MAGMA PoPS				
ARNT2	MAGMA PoPS				
KCTD1	MAGMA PoPS				
ABI2	DEPICT PoPS				
BRD8	DEPICT PoPS				
TCF12	DEPICT PoPS				
SPATS2	DEPICT PoPS				
PBX3	DEPICT PoPS				
SOX11	DEPICT PoPS				
FIBCD1	MSC Nearest				
KRT37	MSC Nearest				
PSD4	MSC Nearest				
ZSCAN31	MSC Nearest				
ZNF280D	MSC Nearest				
MCTP1	MSC Nearest				
SALL3	MSC Nearest				
GNL2	MSC Nearest				
CCDC88B	MAGMA MSC				
TMEM52	MAGMA MSC				
GOLGA3	MAGMA MSC				
YME1L1	MAGMA MSC				
IPP	MAGMA MSC				
TIPIN	MAGMA MSC				
TEX10	MAGMA MSC				
ZCCHC6	MAGMA MSC				
FAM200A	MAGMA MSC				
SHISA4	MAGMA MSC				
SWI5	MAGMA MSC				
RPAP2	MAGMA MSC				
ZNF789	MAGMA MSC				
NCOA7	MAGMA MSC				
ABCC8	MAGMA MSC				
RESP18	MAGMA MSC				
PPP2R3A	MAGMA MSC				
KIAA1522	MAGMA MSC				
STRADA	MAGMA MSC				
PIK3R3	MAGMA MSC				
LRRC66	MAGMA MSC				
PGBD1	MAGMA MSC				
LMOD1	MAGMA MSC				
FAM212B	MAGMA MSC				
C14orf159	MAGMA MSC				
ZKSCAN4	MAGMA MSC				
FTSJ3	MAGMA MSC				
THAP3	MAGMA MSC				
NIM1K	MAGMA MSC				
BBS2	MAGMA MSC				
METAP1D	MAGMA MSC				
SLX4	MAGMA MSC				
CYP20A1	MAGMA MSC				
SKOR1	MAGMA MSC				
BOLL	MAGMA MSC				
PLCL1	MAGMA MSC				
FNDC5	MAGMA MSC				
FAIM2	MAGMA MSC				
HOOK2	MAGMA MSC				
AP3M1	MAGMA MSC				
NOS3	MAGMA MSC				
NKAPL	MAGMA MSC				
ZNHIT3	MAGMA MSC				
PTCD1	MAGMA MSC				
RFTN2	MAGMA MSC				
ASPM	DEPICT MSC				
CIPC	MAGMA Nearest				
EPB41L4B	MAGMA Nearest				
SLC8A1	MAGMA Nearest				
RNF103_CHMP3	MAGMA Nearest				
CCNE1	MAGMA Nearest				
RASGRF1	MAGMA Nearest				
HYOU1	MAGMA Nearest				
CELF1	MAGMA Nearest				
CRIPT	MAGMA Nearest				
RARB	MAGMA Nearest				
PNOC	MAGMA Nearest				
SLAIN1	MAGMA Nearest				
LONRF2	MAGMA Nearest				
NEK6	MAGMA Nearest				
RBBP6	MAGMA Nearest				
VIT	MAGMA Nearest				
BRINP3	MAGMA Nearest				
TTC12	MAGMA Nearest				
NPY	MAGMA Nearest				
SMCO4	MAGMA Nearest				
VEGFA	MAGMA Nearest				
BCL11B	MAGMA Nearest				
PIGK	MAGMA Nearest				
ISCA1	MAGMA Nearest				
MBD2	MAGMA Nearest				
ANAPC10	MAGMA Nearest				
FSHB	MAGMA Nearest				
ATP5J2	MAGMA Nearest				
GIPC2	MAGMA Nearest				
FTO	MAGMA Nearest				
OLFM4	MAGMA Nearest				
PACS1	MAGMA Nearest				
OPCML	MAGMA Nearest				
TUSC3	MAGMA Nearest				
SPATA18	MAGMA Nearest				
C2	MAGMA Nearest				
MFAP2	MAGMA Nearest				
ZBTB10	MAGMA Nearest				
IST1	MAGMA Nearest				
ZDHHC21	MAGMA Nearest				
CPS1	MAGMA Nearest				
CD47	MAGMA Nearest				
TEX29	MAGMA Nearest				
DLK1	MAGMA Nearest				
SLIT2	MAGMA Nearest				
POU3F3	MAGMA Nearest				
CNNM2	MAGMA Nearest				
NCR3LG1	MAGMA Nearest				
GNRH2	MAGMA Nearest				
KLF3	MAGMA Nearest				
RPTOR	MAGMA Nearest				
GALK1	MAGMA Nearest				
KCTD15	MAGMA Nearest				
LYRM2	MAGMA Nearest				
TMEM18	MAGMA Nearest				
SEC16B	MAGMA Nearest				
TRAF3	MAGMA Nearest				
ANTXR2	MAGMA Nearest				
RBM19	MAGMA Nearest				
TH	MAGMA Nearest				
ARG1	MAGMA Nearest				
SMIM21	MAGMA Nearest				
GALC	MAGMA Nearest				
MTIF3	MAGMA Nearest				
NSUN3	MAGMA Nearest				
ABHD17C	MAGMA Nearest				
TBX15	MAGMA Nearest				
AADAT	MAGMA Nearest				
PPP1R3A	MAGMA Nearest				
